                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.8629,                 2.6639,                 1.4469,                 1.7401,                 2.6635,                 1.3213,                0.59318,                0.32172,                0.31006,                0.16666,                 1.5025,                 1.9511,                 1.3616,                 1.3713,                 2.0003,                 1.2646,               0.003169,               0.003169,               0.003169
                     72,                 1.8718,                 2.6282,                 1.4575,                 1.7339,                 2.6398,                 1.3265,                0.58277,                  0.322,                0.31887,                0.17144,                 1.5048,                 1.9051,                 1.3588,                 1.3681,                 1.9681,                 1.2631,                0.00307,                0.00307,                0.00307
                     73,                 1.8981,                  2.639,                 1.4703,                  1.751,                 2.6497,                 1.3362,                0.62849,                 0.3293,                0.32303,                0.17587,                 1.4915,                  1.874,                 1.3507,                 1.3586,                 1.9331,                 1.2486,               0.002971,               0.002971,               0.002971
                     74,                 1.8931,                 2.6096,                 1.4658,                 1.7472,                 2.6221,                 1.3306,                0.53989,                 0.3373,                0.32336,                0.17406,                 1.4811,                 1.8578,                 1.3419,                 1.3403,                 1.9297,                 1.2425,               0.002872,               0.002872,               0.002872
                     75,                 1.8767,                 2.5792,                 1.4563,                 1.7404,                 2.6061,                 1.3259,                0.50311,                0.33453,                0.31989,                0.17476,                 1.4703,                 1.8452,                 1.3387,                 1.3223,                 1.9273,                 1.2379,               0.002773,               0.002773,               0.002773
                     76,                 1.8695,                 2.5758,                 1.4584,                 1.7332,                 2.5957,                 1.3239,                0.48229,                0.35345,                0.32367,                0.17849,                 1.4632,                 1.8285,                 1.3327,                 1.3265,                 1.8972,                  1.233,               0.002674,               0.002674,               0.002674
                     77,                 1.8239,                 2.4925,                 1.4264,                  1.713,                 2.4928,                 1.3058,                0.53285,                0.34188,                0.33952,                0.18512,                 1.4512,                 1.8035,                 1.3247,                 1.3372,                 1.8471,                 1.2415,               0.002575,               0.002575,               0.002575
                     78,                 1.8335,                 2.5391,                 1.4384,                 1.7067,                 2.5485,                 1.3091,                0.51374,                0.36903,                 0.3531,                0.19332,                 1.4469,                  1.791,                 1.3216,                 1.3338,                 1.8329,                 1.2397,               0.002476,               0.002476,               0.002476
                     79,                 1.8438,                 2.5412,                 1.4288,                 1.7141,                 2.5393,                 1.3029,                0.49562,                 0.3638,                0.35308,                0.19565,                 1.4429,                 1.7639,                 1.3209,                 1.3313,                 1.8259,                 1.2427,               0.002377,               0.002377,               0.002377
                     80,                 1.8372,                 2.5225,                 1.4351,                 1.7104,                 2.5158,                 1.3107,                0.50385,                0.36697,                0.35913,                0.19641,                 1.4333,                 1.7443,                 1.3164,                  1.322,                  1.803,                 1.2366,               0.002278,               0.002278,               0.002278
